Taxassign_method	min_bootstrap/identity_threshold	DB	NA	phylum	class	order	family	genus	species
VTAM	NA	COInr	3390	696	1321	857	185	320	410
VTAM	NA	COInr-WO_Insecta	3773	491	1177	818	183	324	413
VTAM	NA	COInr_Med	3954	234	1109	543	405	502	432
VTAM	NA	COInr_Med_plus	3934	230	1102	540	407	503	463
RDP	0.7	COInr	2766	1075	1071	864	288	440	675
RDP	0.7	COInr-WO_Insecta	3169	517	1045	951	336	434	727
RDP	0.7	COInr_Med	3319	299	980	594	550	742	695
RDP	0.7	COInr_Med_plus	3301	291	978	589	545	726	749
QIIME_sklearn	0.7	COInr	1345	1885	1607	1060	136	435	711
QIIME_sklearn	0.7	COInr-WO_Insecta	1423	1334	1645	1386	163	469	759
QIIME_sklearn	0.7	COInr_Med	2153	168	653	451	1455	1300	999
QIIME_sklearn	0.7	COInr_Med_plus	2155	168	649	450	1419	1285	1053
QIIME_BLAST	80	COInr	2163	214	669	1669	657	1139	668
QIIME_BLAST	80	COInr-WO_Insecta	2296	217	611	1669	535	1149	702
QIIME_BLAST	80	COInr_Med	2490	80	443	865	949	1438	914
QIIME_BLAST	80	COInr_Med_plus	2474	78	445	852	956	1440	934
QIIME_BLAST	90	COInr	5270	5	69	594	196	611	434
QIIME_BLAST	90	COInr-WO_Insecta	5261	5	69	594	197	614	439
QIIME_BLAST	90	COInr_Med	5335	4	22	114	372	841	491
QIIME_BLAST	90	COInr_Med_plus	5291	4	22	117	367	839	539
QIIME_BLAST	97	COInr	6207	2	12	142	82	346	388
QIIME_BLAST	97	COInr-WO_Insecta	6201	2	12	140	83	348	393
QIIME_BLAST	97	COInr_Med	6244	1	7	55	55	417	400
QIIME_BLAST	97	COInr_Med_plus	6203	1	7	58	55	411	444
